job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,90376.0,USD,Senior,Contract,China,M,China,Hybrid,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,18/10/2024,07/11/2024,1076,5.9,Smart Analytics
AI00002,AI Software Engineer,61895.0,USD,Entry level,Contract,Canada,M,Ireland,Fully remote,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,20/11/2024,11/01/2025,1268,5.2,TechCorp Inc
AI00003,AI Specialist,152626.0,USD,Mid level,Freelance,Switzerland,L,South Korea,Fully on site,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,18/03/2025,07/04/2025,1974,9.4,Autonomous Tech
AI00004,NLP Engineer,80215.0,USD,Senior,Freelance,India,M,India,Hybrid,"Scala, SQL, Linux, Python",PhD,7,Consulting,23/12/2024,24/02/2025,1345,8.6,Future Systems
AI00005,AI Consultant,62817.6,USD,Entry level,Part time,France,S,Singapore,Fully remote,"MLOps, Java, Tableau, Python",Master,0,Media,15/04/2025,23/06/2025,1989,6.6,Advanced Robotics
AI00006,AI Architect,142110.09999999998,USD,Senior,Contract,Germany,M,Germany,Hybrid,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,31/08/2024,04/10/2024,819,5.9,Neural Networks Co
AI00007,Principal Data Scientist,106757.8,USD,Mid level,Freelance,United Kingdom,S,United Kingdom,Fully on site,"R, Docker, MLOps",Associate,3,Gaming,29/12/2024,28/02/2025,1936,6.3,DataVision Ltd
AI00008,NLP Engineer,81236.0,USD,Entry level,Freelance,France,L,France,Fully on site,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,07/06/2024,01/07/2024,1286,7.6,Cloud AI Solutions
AI00009,Data Analyst,160710.0,USD,Senior,Contract,Singapore,L,Singapore,Fully on site,"Hadoop, Git, Mathematics, Python",PhD,7,Government,04/11/2024,24/11/2024,551,9.3,Quantum Computing Inc
AI00010,AI Software Engineer,102557.0,USD,Senior,Part time,Austria,M,Austria,Fully on site,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,20/10/2024,06/11/2024,2340,5.8,Cloud AI Solutions
AI00011,Autonomous Systems Engineer,102322.0,USD,Senior,Part time,Sweden,M,Sweden,Fully remote,"MLOps, Python, SQL",Associate,8,Telecommunications,29/01/2025,05/03/2025,1047,9.9,Smart Analytics
AI00012,AI Architect,115047.0,USD,Expert,Contract,South Korea,S,South Korea,Fully on site,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,16/07/2024,19/08/2024,513,6.8,TechCorp Inc
AI00013,AI Consultant,143008.25,USD,Senior,Contract,France,M,France,Fully remote,"Tableau, Python, TensorFlow",PhD,5,Automotive,29/12/2024,27/01/2025,760,5.2,Predictive Systems
AI00014,Autonomous Systems Engineer,68760.0,USD,Entry level,Contract,Norway,S,Norway,Fully on site,"Scala, SQL, Statistics",Master,0,Energy,11/02/2024,25/02/2024,1657,9.1,Cloud AI Solutions
AI00015,AI Research Scientist,150122.0,USD,Senior,Full time,Sweden,M,Sweden,Fully remote,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,02/10/2024,26/11/2024,1466,9.8,Advanced Robotics
AI00016,AI Product Manager,105653.64,USD,Entry level,Part time,United Kingdom,L,Israel,Fully on site,"Linux, Statistics, Deep Learning",PhD,0,Consulting,28/09/2024,26/10/2024,2059,9.6,DataVision Ltd
AI00017,Principal Data Scientist,59823.0,USD,Entry level,Full time,India,L,India,Fully remote,"Tableau, NLP, Spark",Bachelor,1,Real Estate,06/02/2025,26/03/2025,1200,5.8,Predictive Systems
AI00018,Machine Learning Engineer,208309.84999999998,USD,Expert,Contract,France,L,France,Fully remote,"MLOps, PyTorch, Azure",Associate,15,Real Estate,24/04/2024,03/06/2024,2142,8.7,AI Innovations
AI00019,Data Engineer,155300.0,USD,Senior,Contract,Singapore,M,Singapore,Fully on site,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,30/04/2024,29/05/2024,589,8.6,Algorithmic Solutions
AI00020,Research Scientist,107928.65,USD,Mid level,Part time,Netherlands,L,Germany,Fully remote,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,01/05/2024,02/07/2024,1809,6.7,AI Innovations
AI00021,Data Engineer,134197.0,USD,Mid level,Full time,Norway,M,France,Fully on site,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,21/06/2024,28/08/2024,969,9.6,AI Innovations
