job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote ratio
ai00001,ai research scientist,90376,USD,senior,Contract,china,m,china,"tableau, pytorch, kubernetes, linux, nlp",bachelor,9,automotive,18/10/2024,07/11/2024,1076,5.9,smart analytics,Hybrid
ai00002,ai software engineer,61895,USD,entry level,Contract,canada,m,ireland,"deep learning, aws, mathematics, python, docker",master,1,media,20/11/2024,11/01/2025,1268,5.2,techcorp inc,Fully remote
ai00003,ai specialist,152626,USD,mid level,Full time,switzerland,l,south korea,"kubernetes, deep learning, java, hadoop, nlp",associate,2,education,18/03/2025,07/04/2025,1974,9.4,autonomous tech,Fully on site
ai00004,nlp engineer,80215,USD,senior,Full time,india,m,india,"scala, sql, linux, python",phd,7,consulting,23/12/2024,24/02/2025,1345,8.6,future systems,Hybrid
ai00005,ai consultant,54624,USD,entry level,Part time,france,s,singapore,"mlops, java, tableau, python",master,0,media,15/04/2025,23/06/2025,1989,6.6,advanced robotics,Fully remote
ai00006,ai architect,123574,USD,senior,Contract,germany,m,germany,"data visualization, r, sql, linux",associate,7,healthcare,31/08/2024,04/10/2024,819,5.9,neural networks co,Hybrid
ai00007,principal data scientist,79670,USD,mid level,Full time,united kingdom,s,united kingdom,"r, docker, mlops",associate,3,gaming,29/12/2024,28/02/2025,1936,6.3,datavision ltd,Fully on site
ai00008,nlp engineer,70640,USD,entry level,Full time,france,l,france,"python, sql, computer vision, java, azure",master,0,healthcare,07/06/2024,01/07/2024,1286,7.6,cloud ai solutions,Fully on site
ai00009,data analyst,160710,USD,senior,Contract,singapore,l,singapore,"hadoop, git, mathematics, python",phd,7,government,04/11/2024,24/11/2024,551,9.3,quantum computing inc,Fully on site
ai00010,ai software engineer,102557,USD,senior,Part time,austria,m,austria,"mlops, gcp, scala, azure, linux",master,5,government,20/10/2024,06/11/2024,2340,5.8,cloud ai solutions,Fully on site
ai00011,autonomous systems engineer,102322,USD,senior,Part time,sweden,m,sweden,"mlops, python, sql",associate,8,telecommunications,29/01/2025,05/03/2025,1047,9.9,smart analytics,Fully remote
ai00012,ai architect,115047,USD,expert,Contract,south korea,s,south korea,"r, data visualization, python, azure",master,15,manufacturing,16/07/2024,19/08/2024,513,6.8,techcorp inc,Fully on site
ai00013,ai consultant,124355,USD,senior,Contract,france,m,france,"tableau, python, tensorflow",phd,5,automotive,29/12/2024,27/01/2025,760,5.2,predictive systems,Fully remote
ai00014,autonomous systems engineer,68760,USD,entry level,Contract,norway,s,norway,"scala, sql, statistics",master,0,energy,11/02/2024,25/02/2024,1657,9.1,cloud ai solutions,Fully on site
ai00015,ai research scientist,150122,USD,senior,ft,sweden,m,sweden,"pytorch, python, data visualization, gcp",associate,6,technology,02/10/2024,26/11/2024,1466,9.8,advanced robotics,Fully remote
ai00016,ai product manager,78846,USD,entry level,Part time,united kingdom,l,israel,"linux, statistics, deep learning",phd,0,consulting,28/09/2024,26/10/2024,2059,9.6,datavision ltd,Fully on site
ai00017,principal data scientist,59823,USD,entry level,ft,india,l,india,"tableau, nlp, spark",bachelor,1,real estate,06/02/2025,26/03/2025,1200,5.8,predictive systems,Fully remote
ai00018,machine learning engineer,181139,USD,expert,Contract,france,l,france,"mlops, pytorch, azure",associate,15,real estate,24/04/2024,03/06/2024,2142,8.7,ai innovations,Fully remote
ai00019,data engineer,155300,USD,senior,Contract,singapore,m,singapore,"git, hadoop, r, python, spark",associate,9,finance,30/04/2024,29/05/2024,589,8.6,algorithmic solutions,Fully on site
ai00020,research scientist,93851,USD,mid level,Part time,netherlands,l,germany,"java, scala, nlp, docker, computer vision",phd,4,transportation,01/05/2024,02/07/2024,1809,6.7,ai innovations,Fully remote
ai00021,data engineer,134197,USD,mid level,ft,norway,m,france,"deep learning, aws, azure",bachelor,3,telecommunications,21/06/2024,28/08/2024,969,9.6,ai innovations,Fully on site
ai00022,autonomous systems engineer,102550,USD,mid level,Part time,united states,m,united states,"tableau, spark, nlp, tensorflow, pytorch",bachelor,2,automotive,23/04/2024,23/06/2024,625,10.0,cognitive computing,Fully on site
ai00023,ml ops engineer,99382,USD,senior,Contract,germany,s,germany,"hadoop, git, tableau",phd,7,automotive,13/03/2025,11/05/2025,1629,6.9,quantum computing inc,Fully on site
ai00024,ai product manager,52167,USD,mid level,ft,austria,m,ireland,"git, hadoop, docker",master,4,telecommunications,07/06/2024,24/06/2024,2298,9.3,cloud ai solutions,Fully remote
ai00025,ml ops engineer,53923,USD,mid level,ft,china,s,china,"aws, azure, git, sql, computer vision",bachelor,2,healthcare,27/10/2024,18/11/2024,1006,7.4,ai innovations,Fully on site
ai00026,robotics engineer,109779,USD,senior,Part time,israel,l,israel,"linux, git, tableau, kubernetes, data visualization",phd,6,government,01/08/2024,02/10/2024,1146,8.8,datavision ltd,Fully remote
ai00027,ml ops engineer,80979,USD,mid level,Contract,australia,s,india,"hadoop, linux, git, scala",master,2,media,18/11/2024,18/01/2025,2109,7.7,techcorp inc,Hybrid
ai00028,data analyst,52997,USD,mid level,Part time,austria,m,singapore,"mathematics, kubernetes, tensorflow, tableau, pytorch",phd,2,government,10/01/2025,20/02/2025,2101,8.6,predictive systems,Fully on site
ai00029,head of ai,42819,USD,entry level,Contract,ireland,m,ireland,"python, scala, nlp, mathematics, git",phd,0,healthcare,08/10/2024,20/11/2024,2187,8.6,cognitive computing,Hybrid
ai00030,ml ops engineer,82083,USD,mid level,Contract,israel,l,israel,"azure, python, computer vision, kubernetes, tensorflow",master,2,retail,18/01/2024,25/02/2024,1212,6.3,future systems,Fully remote
ai00031,head of ai,67488,USD,entry level,ft,netherlands,m,netherlands,"deep learning, gcp, aws, linux, tableau",master,1,retail,16/05/2024,26/07/2024,887,6.0,advanced robotics,Fully remote
ai00032,research scientist,68624,USD,entry level,ft,denmark,m,denmark,"azure, python, spark",master,1,real estate,31/01/2024,08/03/2024,1910,9.2,cloud ai solutions,Fully on site
ai00033,robotics engineer,146852,USD,senior,ft,switzerland,s,switzerland,"nlp, scala, python",phd,7,real estate,28/08/2024,20/09/2024,684,5.3,cognitive computing,Hybrid
ai00034,ml ops engineer,178183,USD,expert,Full time,finland,m,finland,"tableau, azure, gcp, linux, python",associate,16,education,01/03/2024,19/03/2024,1850,5.7,predictive systems,Fully on site
ai00035,deep learning engineer,150864,USD,senior,Full time,sweden,l,singapore,"r, gcp, mlops, linux",phd,8,consulting,26/10/2024,25/12/2024,1504,7.9,smart analytics,Fully on site
ai00036,head of ai,126942,USD,expert,Contract,finland,l,netherlands,"git, hadoop, data visualization",associate,10,finance,31/01/2024,26/02/2024,1261,9.9,autonomous tech,Fully on site
ai00037,ai architect,53752,USD,mid level,Part time,japan,m,japan,"data visualization, tableau, aws, mathematics, python",associate,2,telecommunications,17/10/2024,12/11/2024,998,6.1,techcorp inc,Fully remote
ai00038,robotics engineer,111381,USD,expert,Contract,israel,s,israel,"linux, pytorch, sql, statistics",master,18,government,14/01/2024,12/03/2024,1030,8.1,autonomous tech,Fully on site
ai00039,ai specialist,41430,USD,entry level,Part time,china,m,china,"tableau, docker, gcp",bachelor,1,healthcare,15/06/2024,29/07/2024,2323,8.0,future systems,Hybrid
ai00040,data engineer,166080,USD,expert,Full time,netherlands,l,netherlands,"computer vision, azure, tableau",associate,15,government,01/03/2024,01/05/2024,831,5.1,deeptech ventures,Fully remote
ai00041,data scientist,96956,USD,mid level,ft,united states,m,china,"data visualization, azure, spark, mlops",bachelor,2,telecommunications,24/02/2024,09/03/2024,761,5.3,datavision ltd,Fully on site
ai00042,ai architect,196954,USD,senior,Full time,united states,l,united states,"java, mathematics, sql",bachelor,8,finance,17/03/2025,16/04/2025,2290,7.5,datavision ltd,Hybrid
ai00043,ai specialist,56745,USD,entry level,Part time,finland,l,finland,"spark, mathematics, gcp",associate,1,telecommunications,01/02/2025,11/04/2025,502,5.5,quantum computing inc,Fully remote
ai00044,machine learning researcher,113455,USD,senior,ft,singapore,m,singapore,"hadoop, docker, python, azure",associate,8,retail,24/04/2024,12/06/2024,1281,8.0,ai innovations,Hybrid
ai00045,ml ops engineer,158808,USD,senior,Part time,netherlands,m,netherlands,"docker, r, linux",bachelor,5,media,03/03/2025,03/05/2025,1926,7.4,future systems,Hybrid
ai00046,ai research scientist,174663,USD,senior,Contract,united states,m,singapore,"data visualization, statistics, r",associate,7,media,10/01/2024,22/03/2024,1151,5.4,deeptech ventures,Hybrid
ai00047,ai research scientist,46753,USD,entry level,Contract,india,s,india,"scala, java, tableau",phd,1,manufacturing,16/11/2024,18/12/2024,2012,9.7,quantum computing inc,Hybrid
ai00048,ai software engineer,69020,USD,mid level,Full time,china,l,china,"java, azure, gcp",bachelor,4,energy,05/09/2024,25/10/2024,1584,8.8,techcorp inc,Fully on site
ai00049,ai specialist,288815,USD,expert,Part time,switzerland,s,switzerland,"deep learning, git, data visualization, linux, java",bachelor,12,manufacturing,08/08/2024,23/09/2024,1930,7.2,cognitive computing,Fully on site
ai00050,ai consultant,124871,USD,expert,Full time,austria,m,finland,"hadoop, aws, linux, docker, statistics",phd,19,media,10/03/2025,17/05/2025,1556,8.0,autonomous tech,Hybrid
ai00051,ai architect,70391,USD,mid level,ft,germany,s,germany,"deep learning, sql, mathematics",phd,4,government,16/08/2024,19/10/2024,1974,9.2,techcorp inc,Fully on site
ai00052,research scientist,115376,USD,expert,ft,india,m,india,"linux, r, azure, mathematics, git",master,17,technology,12/03/2024,14/04/2024,2028,5.5,autonomous tech,Fully remote
ai00053,research scientist,106579,USD,mid level,Part time,united states,s,united states,"docker, tableau, mathematics",associate,3,gaming,24/02/2024,02/05/2024,2028,5.4,cognitive computing,Fully remote
ai00054,data scientist,135230,USD,senior,Part time,norway,s,norway,"r, pytorch, kubernetes, computer vision",phd,8,consulting,07/07/2024,09/09/2024,1219,7.5,datavision ltd,Fully remote
ai00055,research scientist,67607,USD,mid level,Part time,israel,s,israel,"python, tableau, tensorflow, aws",master,4,media,05/08/2024,26/08/2024,1714,8.6,quantum computing inc,Hybrid
ai00056,ai architect,88470,USD,mid level,Part time,canada,l,canada,"azure, kubernetes, tensorflow, statistics, spark",associate,3,real estate,29/07/2024,27/09/2024,1528,9.1,autonomous tech,Fully on site
ai00057,autonomous systems engineer,79863,USD,mid level,Full time,india,l,india,"python, docker, gcp, scala",associate,4,automotive,28/09/2024,26/10/2024,1325,5.6,autonomous tech,Fully remote
ai00058,machine learning engineer,60299,USD,entry level,Part time,israel,l,israel,"git, linux, python, tensorflow, mathematics",phd,0,finance,22/03/2025,01/05/2025,1872,6.6,advanced robotics,Fully remote
ai00059,machine learning engineer,85645,USD,mid level,ft,germany,m,germany,"pytorch, computer vision, r",associate,4,transportation,09/02/2024,06/03/2024,793,7.9,ai innovations,Fully on site
ai00060,ai software engineer,110222,USD,senior,Full time,united kingdom,s,france,"r, spark, aws",associate,8,media,20/03/2024,05/05/2024,1945,9.0,techcorp inc,Fully on site
ai00061,data scientist,49365,USD,entry level,ft,china,m,china,"tableau, nlp, azure, statistics, pytorch",associate,1,finance,22/06/2024,14/08/2024,1907,10.0,predictive systems,Fully on site
ai00062,data scientist,162296,USD,senior,Part time,norway,s,norway,"tensorflow, azure, computer vision, data visualization",bachelor,6,finance,05/06/2024,01/07/2024,1714,6.2,neural networks co,Hybrid
ai00063,ai consultant,102382,USD,mid level,Part time,switzerland,m,switzerland,"tensorflow, scala, docker, statistics",phd,3,education,23/03/2024,03/06/2024,2199,5.8,smart analytics,Fully on site
ai00064,ai software engineer,99972,USD,mid level,Part time,australia,m,canada,"java, r, deep learning, nlp, azure",phd,4,technology,20/02/2024,15/03/2024,799,6.5,cloud ai solutions,Hybrid
